OBJECTID,FEATURETYPE,NAME,CLASS,OPERATOR,OWNER,SITEADDRESS,SITESUBURB,POSTCODE,STATE,STATUS,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,PLANIMETRICACCURACY,SPATIALACCURACY,METADATACOMMENT,METADATALINK1,RESTRICTIONS,REVISED,ENO,TEXTNOTE
92,Power Station,Jeeralang A Power Station,Non Renewable,,Industry Funds Management Nominees Ltd Ecogen Holdings,,Hazelwood North,3840,VICTORIA,Operational,Open Cycle Gas Turbine,Natural Gas,,212,4,19/02/2009,latrobe_2009feb19_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\jeeralong_a_pwr_stn.bmp,,11/09/2012,,
93,Power Station,Jeeralang B Power Station,Non Renewable,,Industry Funds Management Nominees Ltd,,Hazelwood North,3840,VICTORIA,Operational,Open Cycle Gas Turbine,Natural Gas,,228,3,19/02/2009,latrobe_2009feb19_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\jeeralong_b_pwr_stn.bmp,,11/09/2012,,
94,Power Station,Laverton North Power Station,Non Renewable,,Snowy Hydro Ltd,,Laverton North,3026,VICTORIA,Operational,Open Cycle Gas Turbine,Natural Gas,,312,2,24/01/2006,wyndham_2006Jan24_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\lavertonnorth_pwr_stn.jpg,,11/09/2012,260010,
95,Power Station,Longford Power Station,Non Renewable,Longford Gas Plant,TRUenergy,,Longford,3851,VICTORIA,Operational,Open Cycle Gas Turbine,Natural Gas,,31.8,6,14/01/2008,wellington-sth_2008jan14_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,1,1, ,,,11/09/2012,529787,
96,Power Station,Loy Yang A Power Station,Non Renewable,,GEAC Great Energy Alliance Corporation,,Loy Yang,3844,VICTORIA,Operational,Steam Subcritical,Coal,Brown Coal,2180,4,19/02/2009,latrobe_2009feb19_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,5,"Generating Units 3x560, 1x500",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\loyyanga_pwr_stn.jpg,,11/09/2012,259195,
97,Power Station,Mornington (Landfill) Power Station,Renewable,,LMS Generation Pty Ltd,,Fingal,3939,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,0.8,1,11/01/2007,mornington_2007jan11_air_vis_20cm_mga55,31/07/2012,AEMO Generator List,1,4, ,,,11/09/2012,,
98,Power Station,Newport Power Station,Non Renewable,Industry Funds Management Nominees Ltd,Industry Funds Management,,Newport,3015,VICTORIA,Operational,Steam Subcritical,Natural Gas,,500,1,24/01/2006,hobsonsbay_2006jan24_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,5, ,,,11/09/2012,259110,
99,Power Station,Rubicon Power Station,Renewable,AGL Hydro Partnership,AGL Energy Pty Ltd,,Rubicon,3712,VICTORIA,Operational,Hydroelectric (Gravity),Water,,9.6,1,26/01/2007,murrindindi_2007jan26_air_vis_50cm_mga55,31/07/2012,AEMO Generator List,1,5, ,,,11/09/2012,259340,
100,Power Station,Somerton Power Station,Non Renewable,AGL Hydro Partnership,AGL Energy Pty Ltd,,Somerton,3062,VICTORIA,Operational,Open Cycle Gas Turbine,Natural Gas,,160,4,25/11/2007,hume_2007nov25_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\somerton_pwr_stn.jpg,,11/09/2012,259089,
101,Power Station,Symex Port Melbourne Power Plant,Non Renewable,Energy Response,Symex Holding Ltd,,Port Melbourne,3207,VICTORIA,Operational,Open Cycle Gas Turbine,Natural Gas,,5.9,,3/01/2009,melbourne_2009jan03_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,1,4, ,,,11/09/2012,,
102,Power Station,Valley Power Station (Peaking Facility),Non Renewable,Valley Power,Snowy Hydro Ltd,,Loy Yang,3844,VICTORIA,Operational,Open Cycle Gas Turbine,Natural Gas,,300,6,19/02/2009,latrobe_2009feb19_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,5, ,,,11/09/2012,259537,
103,Power Station,Lake William Hovell Power Station,Renewable,,Pacific Hydro Investments Pty Ltd,,Cheshunt South,3678,VICTORIA,Operational,Hydroelectric (Gravity),Water,,1.8,1,25/01/2007,wangaratta_2007jan25_air_vis_50cm_mga55,31/07/2012,AEMO Generator List,1,3, ,,,11/09/2012,259326,
104,Power Station,Yallourn Power Station,Non Renewable,TRUenergy (Yallourn),TRUenergy,,Yallourn,3825,VICTORIA,Operational,Steam Subcritical,Coal,Brown Coal,1480,4,9/02/2007,latrobe_2007feb09_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,5,"Generating Units 2x360, 2x380",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\yallourn_pwr_stn.jpg,,11/09/2012,259288,
105,Power Station,Yarrawonga Power Station,Renewable,AGL Hydro Partnership,AGL Energy Pty Ltd,,Yarrawonga,3730,VICTORIA,Operational,Hydroelectric (Gravity),Water,,9.5,2,12/01/2007,yarrawonga_2007jan12_air_vis_125mm_mga55,31/07/2012,AEMO Generator List,1,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\yarrawonga_hydro.jpg,,11/09/2012,259335,
106,Power Station,Bogong Power Station (Mount Beauty Hydro Scheme),Renewable,AGL Hydro Partnership,AGL Energy Pty Ltd,,Bogong,3699,VICTORIA,Operational,Hydroelectric (Gravity),Water,,140,8,10/03/2007,great-divide-fire-nth_2007mar10_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,3,5,"Generating Units 2x80, 6x25",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\bogong_pwr_stn.jpg,,11/09/2012,259741,
107,Power Station,Clover Power Station,Renewable,AGL Energy Services Pty Ltd,AGL Energy Pty Ltd,,Bogong,3699,VICTORIA,Operational,Hydroelectric (Gravity),Water,,29,2,10/03/2007,great-divide-fire-nth_2007mar10_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,3,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\clover_hydro.bmp,,11/09/2012,259334,
108,Power Station,Mckay Creek Power Station (Mount Beauty Hydro Scheme),Renewable,,AGL Energy Pty Ltd,,Falls Creek,3699,VICTORIA,Operational,Hydroelectric (Gravity),Water,,150,6,10/03/2007,great-divide-fire-nth_2007mar10_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,3,2, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\mckaycreek_hydro.jpg,,11/09/2012,259330,
